time,etkf_rmse,enkfn_rmse,enkfn_l1
19.1500,0.278236,0.342878,1.085147
19.2000,0.298067,0.350330,1.161908
19.2500,0.242506,0.320321,1.141087
19.3000,0.261979,0.343715,1.065914
19.3500,0.348496,0.388044,1.112490
19.4000,0.355841,0.390950,1.080883
19.4500,0.294095,0.375867,1.147308
19.5000,0.305381,0.373576,1.047440
19.5500,0.337932,0.394486,1.088740
19.6000,0.390857,0.413441,1.085534
19.6500,0.375490,0.408026,1.090544
19.7000,0.425229,0.467768,1.065216
19.7500,0.352924,0.407134,1.192847
19.8000,0.377469,0.424710,1.069089
19.8500,0.304727,0.391881,1.155112
19.9000,0.323585,0.430437,1.052698
19.9500,0.326170,0.409037,1.080746
20.0000,0.306250,0.401430,1.052665
